,age,birthday,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,annual_salary,Forward,Goalkeeper,Midfielder,Arsenal,Brighton & Hove Albion,Burnley,Cardiff City,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield Town,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Southampton,Tottenham Hotspur,Watford,West Ham United,Wolverhampton Wanderers
232,29,656726400,2135,985,1150,31,10,13,6,4,2,3,0,3,0,0,15,6,9,15,8,7,3,0,0.38,0.13,0.25,0.37,0.16,356,0.63,142,69,712,712,0.13,78,119,-1,8,9718072.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
249,34,505180800,1785,646,1139,31,7,12,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0.0,0.4,357,0.55,162,58,255,446,0.35,80,64,-1,5,9718072.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,28,710553600,2048,1161,887,31,13,10,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,34,-1,2,9718072.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,32,581126400,1335,694,641,25,7,7,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,21,186,-1,3,9718072.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
293,30,645580800,1983,925,1058,32,9,12,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0.0,0.09,1983,0.5,180,62,661,661,0.14,223,102,-1,14,9718072.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
254,33,537321600,2735,1418,1317,34,16,14,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,9,120,-1,1,9718072.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,30,620611200,496,152,344,18,1,3,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,47,79,-1,10,9023924.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
560,27,721353600,3041,1347,1694,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,63,92,-1,2,9023924.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
316,33,531532800,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,10,6,4,43,18,25,3,0,0.0,0.0,0.0,0.0,0.0,0,1.13,80,90,1140,0,0.08,342,302,50,25,9023924.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,29,659577600,147,47,100,8,0,1,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,1.22,0.61,0.61,1.91,0.0,147,1.22,74,18,0,147,0.0,-1,-1,-1,13,8676850.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
