,full_name,annual_salary,,
,"Aaron Cresswell
DEFENDER","£2,600,000.00",,
,"Aaron Lennon
FORWARD","£1,820,000.00",,
,"Aaron Mooy
MIDFIELDER","£2,600,000.00",,
,"Aaron Ramsey
MIDFIELDER","£6,240,000.00",,
,"Aaron Wan-Bissaka
DEFENDER","£702,000.00",,
,"Abdelhamid Sabiri
MIDFIELDER","£936,000.00",,
,"Abdoulaye Doucouré
MIDFIELDER","£3,640,000.00",,
,"Aboubakar Kamara
FORWARD","£650,000.00",,
,"Achraf Lazaar
DEFENDER","£468,000.00",,
,"Adam Lallana
MIDFIELDER","£3,042,000.00",,
,"Adam Legzdins
GOALKEEPER","£260,000.00",,
,"Adam Masina
DEFENDER","£1,456,000.00",,
,"Adama Diakhaby
FORWARD","£1,560,000.00",,
,"Adama Traore
MIDFIELDER","£2,236,000.00",,
,"Ademola Lookman
FORWARD","£1,076,400.00",,
,"Adrian San Miguel del Castillo
GOALKEEPER","£2,600,000.00",,
,"Adrien Silva
MIDFIELDER","£4,160,000.00",,
,"Ahmed Elmohamady
MIDFIELDER","£1,300,000.00",,
,"Ainsley Maitland-Niles
MIDFIELDER","£1,820,000.00",,
,"Alberto Moreno
DEFENDER","£2,080,000.00",,
,"Aleix Garcia
MIDFIELDER","£260,000.00",,
,"Aleksandar Mitrovic
FORWARD","£3,120,000.00",,
,"Alex Iwobi
FORWARD","£2,600,000.00",,
,"Alex McCarthy
GOALKEEPER","£2,600,000.00",,
,"Alex Oxlade-Chamberlain
MIDFIELDER","£6,240,000.00",,
,"Alex Palmer
GOALKEEPER","£104,000.00",,
,"Alex Pritchard
MIDFIELDER","£1,560,000.00",,
,"Alex Smithies
GOALKEEPER","£1,560,000.00",,
,"Alexander Sörloth
FORWARD","£936,000.00",,
,"Alexander Tettey
MIDFIELDER","£676,000.00",,
,"Alexandre Lacazette
FORWARD","£9,466,673.00",,
,"Alexis Sanchez
FORWARD","£16,380,000.00",,
,"Alfie Mawson
DEFENDER","£1,664,000.00",,
,"Alireza Jahanbakhsh
FORWARD","£2,600,000.00",,
,"Alisson Becker
GOALKEEPER","£4,680,000.00",,
,"Allan-Romeo Nyom
DEFENDER","£1,820,000.00",,
,"Ander Herrera
MIDFIELDER","£5,980,000.00",,
,"Anders Lindegaard
GOALKEEPER","£416,000.00",,
,"Andre Gomes
MIDFIELDER","£5,800,000.00",,
,"Andre Gray
FORWARD","£3,640,000.00",,
,"Andre Green
FORWARD","£312,000.00",,
,"André Schurrle
FORWARD","£5,408,000.00",,
,"Andre-Frank Zambo Anguissa
MIDFIELDER","£3,484,000.00",,
,"Andreas Christensen
DEFENDER","£4,160,000.00",,
,"Andreas Pereira
MIDFIELDER","£1,560,000.00",,
,"Andrew Robertson
DEFENDER","£2,600,000.00",,
,"Andriy Yarmolenko
FORWARD","£5,980,000.00",,
,"Andros Townsend
FORWARD","£2,860,000.00",,
,"Andy Carroll
FORWARD","£4,680,000.00",,
,"Andy King
MIDFIELDER","£2,080,000.00",,
,"Angelo Ogbonna
DEFENDER","£3,640,000.00",,
,"Angus Gunn
GOALKEEPER","£2,080,000.00",,
,"Anthony Knockaert
FORWARD","£1,820,000.00",,
,"Anthony Martial
FORWARD","£5,720,000.00",,
,"Antonio Rudiger
DEFENDER","£6,000,000.00",,
,"Antonio Valencia
DEFENDER","£4,420,000.00",,
,"Aron Gunnarsson
MIDFIELDER","£1,250,000.00",,
,"Arthur Masuaku
DEFENDER","£2,080,000.00",,
,"Ashley Barnes
FORWARD","£2,080,000.00",,
,"Ashley Westwood
MIDFIELDER","£1,612,000.00",,
,"Ashley Williams (on loan from )
DEFENDER","£3,640,000.00",,
,"Ashley Young
MIDFIELDER","£6,240,000.00",,
,"Asmir Begovic
GOALKEEPER","£3,640,000.00",,
,"Axel Tuanzebe (on loan from )
DEFENDER","£260,000.00",,
