,full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
0,Aaron Cresswell,30,629683200,Premier League,2018/2019,Defender,West Ham United,1589,888,701,England,20,10,8,0,0,0,1,1,0,0,0,3,2,1,22,12,10,1,0,0.06,0.06,0.0,0.0,0.0,0,1.25,72,79,1589,1589,0.06,292,193,80,20
1,Aaron Lennon,33,545529600,Premier League,2018/2019,Midfielder,Burnley,1217,487,730,England,16,5,9,1,1,0,1,1,0,0,0,4,2,2,20,8,12,1,0,0.15,0.07,0.07,0.18,0.0,1217,1.48,61,76,1217,1217,0.07,198,187,-1,10
2,Aaron Mooy,29,653356800,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,13,12,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,147,233,-1,3
3,Aaron Ramsey,29,662169600,Premier League,2018/2019,Midfielder,Arsenal,1327,689,638,Wales,28,8,6,4,2,2,6,5,1,0,0,7,6,1,12,2,10,0,0,0.68,0.41,0.27,0.26,0.28,332,0.81,111,47,0,221,0.0,69,8,-1,5
4,Aaron Rowe,19,968284800,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.3,69,35,0,0,0.0,-1,-1,-1,31
5,Aaron Wan-Bissaka,22,880502400,Premier League,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,England,35,18,17,0,0,0,3,1,2,0,0,12,7,5,41,17,24,5,1,0.09,0.09,0.0,0.0,0.0,0,1.18,76,90,523,1045,0.17,312,160,-1,22
6,Abdelhamid Sabiri,23,849139200,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,5.51,16,25,0,0,0.0,-1,-1,-1,22
7,Abdoulaye Doucouré,27,725846400,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,17,17,5,3,2,6,2,4,0,0,5,3,2,54,27,27,7,0,0.32,0.18,0.15,0.17,0.12,612,1.59,57,87,437,510,0.21,122,80,-1,5
8,Aboubakar Kamara,25,794534400,Premier League,2018/2019,Forward,Fulham,687,468,219,France,13,4,1,3,1,2,0,0,0,1,1,2,1,1,16,9,7,2,0,0.39,0.0,0.39,0.19,0.82,229,2.1,43,53,344,0,0.26,37,412,-1,4
9,Adalberto Peñaranda Maestre,23,865036800,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
10,Adam Lallana,32,579225600,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,2,3,0,0,0,0,0,0,0,0,6,1,5,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.39,233,36,465,0,0.19,379,344,-1,18
11,Adam Masina,26,757468800,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,5,6,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0.0,0.0,0.0,0,1.7,53,72,201,1003,0.45,397,154,143,20
12,Adam Smith,29,672883200,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0.0,2073,1.3,69,83,296,2073,0.3,235,228,85,10
13,Adama Diakhaby,24,836524800,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,4,2,0,0,0,0,0,0,0,0,1,1,0,16,7,9,1,0,0.0,0.0,0.0,0.0,0.0,0,2.61,34,46,551,0,0.16,332,359,-1,26
14,Adama Traore,24,822528000,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,2,6,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0.0,0.16,890,1.11,81,31,890,890,0.1,164,145,-1,13
15,Ademola Lookman,22,877305600,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,2,1,0,0,0,2,2,0,0,0,8,5,3,7,2,5,0,0,0.3,0.3,0.0,0.0,0.0,0,1.05,86,29,0,301,0.0,287,20,-1,17
16,Adrian Mariappa,33,528681600,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,8,12,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0.0,0.0,0.0,0.0,0.0,0,1.36,66,74,640,0,0.14,396,414,94,21
17,Adrian San Miguel del Castillo,33,536630400,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
18,Adrien Silva,31,605923200,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.02,88,44,0,0,0.0,-1,-1,-1,15
19,Ainsley Maitland-Niles,22,872812800,Premier League,2018/2019,Midfielder,Arsenal,985,462,523,England,16,5,6,1,0,1,1,0,1,0,0,4,3,1,16,5,11,3,1,0.18,0.09,0.09,0.0,0.17,985,1.46,62,62,328,985,0.27,178,166,-1,15
20,Alberto Moreno,28,710294400,Premier League,2018/2019,Defender,Liverpool,155,90,65,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.16,78,78,0,0,0.0,-1,-1,-1,17
21,Aleksandar Mitrovic,25,779673600,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,62,176,-1,1
22,Alex Iwobi,24,831081600,Premier League,2018/2019,Forward,Arsenal,1972,742,1230,Nigeria,35,7,15,3,1,2,6,3,3,0,0,8,7,1,31,8,23,0,0,0.41,0.27,0.14,0.12,0.15,657,1.41,64,56,0,329,0.0,128,31,-1,8
23,Alex McCarthy,30,628646400,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0.0,0.0,0.0,0.0,0.0,0,1.48,61,90,2250,0,0.04,372,365,114,21
24,Alex Oxlade-Chamberlain,26,745372800,Premier League,2018/2019,Midfielder,Liverpool,19,19,0,England,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10,0,0,0.0,-1,-1,-1,21
25,Alex Pritchard,27,736387200,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,13,13,2,1,1,0,0,0,0,0,4,2,2,39,16,23,2,0,0.09,0.0,0.09,0.09,0.08,1046,1.68,54,70,1046,0,0.09,175,373,-1,5
26,Alex Smithies,30,636595200,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
27,Alexander Sörloth,24,818121600,Premier League,2018/2019,Forward,Crystal Palace,173,121,52,Norway,12,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.52,173,14,0,0,0.0,-1,-1,-1,17
28,Alexandre Lacazette,29,675388800,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,15,12,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,24,25,-1,2
29,Alexandre Nascimento Costa Silva,23,858470400,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,0.0,-1,-1,-1,16
